ProviderId,DataYear,SurveysCompleted,SurveyResponseRate,MeasureStartDate,MeasureEndDate
010018,2010,Fewer than 100,45,NULL,NULL
010018,2011,Fewer than 100,46,NULL,NULL
010018,2012,Fewer than 100,45,NULL,NULL
010018,2013,Fewer than 100,41,NULL,NULL
010018,2014,Fewer than 100,48,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010018,2015,FEWER THAN 50,42,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010018,2016,FEWER THAN 50,43,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010019,2009,Between 100 and 299,45,NULL,NULL
010019,2010,Between 100 and 299,39,NULL,NULL
010019,2011,300 or more,33,NULL,NULL
010019,2012,300 or more,30,NULL,NULL
010019,2013,300 or more,30,NULL,NULL
010019,2014,300 or more,25,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010019,2015,906,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010019,2016,915,26,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010021,2009,300 or More,18,NULL,NULL
010021,2010,Between 100 and 299,21,NULL,NULL
010021,2011,Between 100 and 299,21,NULL,NULL
010021,2012,Between 100 and 299,25,NULL,NULL
010021,2013,Between 100 and 299,33,NULL,NULL
010021,2014,Between 100 and 299,34,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010021,2015,225,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010021,2016,246,30,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010022,2009,Between 100 and 299,37,NULL,NULL
010022,2010,Between 100 and 299,28,NULL,NULL
010022,2011,Between 100 and 299,30,NULL,NULL
010022,2012,Between 100 and 299,34,NULL,NULL
010022,2013,Between 100 and 299,32,NULL,NULL
010022,2014,Between 100 and 299,37,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010022,2015,96,34,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010022,2016,94,37,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010023,2009,300 or More,56,NULL,NULL
010023,2010,300 or more,40,NULL,NULL
010023,2011,300 or more,33,NULL,NULL
010023,2012,300 or more,35,NULL,NULL
010023,2013,300 or more,37,NULL,NULL
010023,2014,300 or more,33,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010023,2015,1170,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010023,2016,1101,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010024,2009,300 or More,27,NULL,NULL
010024,2010,300 or more,27,NULL,NULL
010024,2011,300 or more,26,NULL,NULL
010024,2012,300 or more,30,NULL,NULL
010024,2013,300 or more,30,NULL,NULL
010024,2014,300 or more,28,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010024,2015,1461,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010024,2016,1580,27,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010025,2009,Between 100 and 299,41,NULL,NULL
010025,2010,300 or more,31,NULL,NULL
010025,2011,300 or more,30,NULL,NULL
010025,2012,300 or more,27,NULL,NULL
010025,2013,300 or more,29,NULL,NULL
010027,2009,Between 100 and 299,48,NULL,NULL
010027,2010,Between 100 and 299,26,NULL,NULL
010027,2011,Between 100 and 299,27,NULL,NULL
010027,2012,Fewer than 100,31,NULL,NULL
010029,2009,300 or More,31,NULL,NULL
010029,2010,300 or more,28,NULL,NULL
010029,2011,300 or more,32,NULL,NULL
010029,2012,300 or more,36,NULL,NULL
010029,2013,300 or more,33,NULL,NULL
010029,2014,300 or more,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010029,2015,1709,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010029,2016,1742,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010032,2009,Between 100 and 299,41,NULL,NULL
010032,2010,Between 100 and 299,29,NULL,NULL
010032,2011,Between 100 and 299,29,NULL,NULL
010032,2012,Between 100 and 299,35,NULL,NULL
010032,2013,Between 100 and 299,37,NULL,NULL
010032,2014,Between 100 and 299,37,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010032,2015,84,32,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010032,2016,89,35,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010033,2009,300 or More,27,NULL,NULL
010033,2010,300 or more,28,NULL,NULL
010033,2011,300 or more,28,NULL,NULL
010033,2012,300 or more,31,NULL,NULL
010033,2013,300 or more,28,NULL,NULL
010033,2014,300 or more,25,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010033,2015,6458,23,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010033,2016,6272,22,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010034,2009,300 or More,28,NULL,NULL
010034,2010,300 or more,28,NULL,NULL
010034,2011,300 or more,28,NULL,NULL
010034,2012,300 or more,32,NULL,NULL
010034,2013,300 or more,34,NULL,NULL
010034,2014,300 or more,34,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010034,2015,360,34,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010034,2016,313,33,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010035,2009,Between 100 and 299,46,NULL,NULL
010035,2010,Between 100 and 299,38,NULL,NULL
010035,2011,300 or more,31,NULL,NULL
010035,2012,300 or more,40,NULL,NULL
010035,2013,300 or more,42,NULL,NULL
010035,2014,300 or more,39,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010035,2015,1189,38,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010035,2016,1291,40,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010036,2009,300 or More,29,NULL,NULL
010036,2010,300 or more,27,NULL,NULL
010036,2011,300 or more,28,NULL,NULL
010036,2012,300 or more,26,NULL,NULL
010036,2013,300 or more,28,NULL,NULL
010036,2014,300 or more,31,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010036,2015,414,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010036,2016,431,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010038,2009,300 or More,23,NULL,NULL
010038,2010,300 or more,27,NULL,NULL
010038,2011,300 or more,24,NULL,NULL
010038,2012,300 or more,27,NULL,NULL
010038,2013,300 or more,28,NULL,NULL
010038,2014,300 or more,25,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010038,2015,534,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010038,2016,586,25,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010039,2009,Between 100 and 299,34,NULL,NULL
010039,2010,300 or more,29,NULL,NULL
010039,2011,300 or more,34,NULL,NULL
010039,2012,300 or more,31,NULL,NULL
010039,2013,300 or more,32,NULL,NULL
010039,2014,300 or more,29,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010039,2015,3330,28,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010039,2016,3312,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010040,2009,300 or More,28,NULL,NULL
010040,2010,300 or more,27,NULL,NULL
010040,2011,300 or more,27,NULL,NULL
010040,2012,300 or more,27,NULL,NULL
010040,2013,300 or more,31,NULL,NULL
010040,2014,300 or more,31,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010040,2015,1670,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010040,2016,1975,30,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010043,2009,Between 100 and 299,40,NULL,NULL
010043,2010,Between 100 and 299,27,NULL,NULL
010043,2011,Between 100 and 299,24,NULL,NULL
010043,2012,Between 100 and 299,33,NULL,NULL
010044,2009,Between 100 and 299,28,NULL,NULL
010044,2010,Between 100 and 299,30,NULL,NULL
010044,2011,Between 100 and 299,31,NULL,NULL
010044,2012,Between 100 and 299,26,NULL,NULL
010044,2013,Between 100 and 299,27,NULL,NULL
010044,2014,Between 100 and 299,27,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010044,2015,FEWER THAN 50,33,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010044,2016,79,34,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010045,2009,300 or More,33,NULL,NULL
010045,2010,300 or more,31,NULL,NULL
010045,2011,300 or more,32,NULL,NULL
010045,2012,300 or more,31,NULL,NULL
010045,2013,Between 100 and 299,32,NULL,NULL
010045,2014,Between 100 and 299,29,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010045,2015,199,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010045,2016,200,32,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010046,2009,300 or More,25,NULL,NULL
010046,2010,300 or more,30,NULL,NULL
010046,2011,300 or more,28,NULL,NULL
010046,2012,300 or more,26,NULL,NULL
010046,2013,300 or more,27,NULL,NULL
010046,2014,300 or more,26,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010046,2015,554,24,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010046,2016,818,25,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010047,2009,Between 100 and 299,48,NULL,NULL
010047,2010,300 or more,28,NULL,NULL
010047,2011,Between 100 and 299,29,NULL,NULL
010047,2012,Between 100 and 299,38,NULL,NULL
010047,2013,Between 100 and 299,38,NULL,NULL
010047,2014,Between 100 and 299,36,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010047,2015,133,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010047,2016,136,32,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010049,2009,300 or More,28,NULL,NULL
010049,2010,300 or more,29,NULL,NULL
010049,2011,300 or more,29,NULL,NULL
010049,2012,300 or more,28,NULL,NULL
010049,2013,300 or more,32,NULL,NULL
010049,2014,300 or more,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010049,2015,648,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010049,2016,629,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010050,2009,Between 100 and 299,47,NULL,NULL
010050,2010,Between 100 and 299,46,NULL,NULL
010050,2011,300 or more,33,NULL,NULL
010050,2012,Between 100 and 299,33,NULL,NULL
010050,2013,Between 100 and 299,36,NULL,NULL
010051,2009,Between 100 and 299,44,NULL,NULL
010051,2010,Between 100 and 299,26,NULL,NULL
010051,2011,Between 100 and 299,27,NULL,NULL
010051,2012,Fewer than 100,29,NULL,NULL
010051,2013,Fewer than 100,26,NULL,NULL
010051,2014,Fewer than 100,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010051,2015,Not Available,Not Available,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010051,2016,Not Available,Not Available,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010052,2009,Between 100 and 299,45,NULL,NULL
010052,2010,Between 100 and 299,30,NULL,NULL
010052,2011,Between 100 and 299,32,NULL,NULL
010052,2012,Between 100 and 299,33,NULL,NULL
010052,2013,Between 100 and 299,38,NULL,NULL
010052,2014,Between 100 and 299,31,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010052,2015,210,25,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010052,2016,244,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010054,2009,300 or More,28,NULL,NULL
010054,2010,300 or more,28,NULL,NULL
010054,2011,300 or more,29,NULL,NULL
010054,2012,300 or more,29,NULL,NULL
010054,2013,300 or more,32,NULL,NULL
010054,2014,Between 100 and 299,21,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010055,2009,300 or More,30,NULL,NULL
010055,2010,300 or more,30,NULL,NULL
010055,2011,300 or more,30,NULL,NULL
010055,2012,300 or more,34,NULL,NULL
010055,2013,300 or more,35,NULL,NULL
010055,2014,300 or more,38,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010055,2015,1322,35,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010055,2016,1286,34,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010056,2009,300 or More,37,NULL,NULL
010056,2010,300 or more,38,NULL,NULL
010056,2011,300 or more,38,NULL,NULL
010056,2012,300 or more,32,NULL,NULL
010056,2013,300 or more,35,NULL,NULL
010056,2014,300 or more,38,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010056,2015,3143,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010056,2016,3266,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010058,2009,Fewer than 100,22,NULL,NULL
010058,2010,Fewer than 100,26,NULL,NULL
010058,2011,Fewer than 100,36,NULL,NULL
010058,2012,Fewer than 100,34,NULL,NULL
010058,2013,Fewer than 100,32,NULL,NULL
010058,2014,Fewer than 100,24,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010058,2015,51,22,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010058,2016,FEWER THAN 50,20,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010059,2009,Between 100 and 299,47,NULL,NULL
010059,2010,300 or more,34,NULL,NULL
010059,2011,300 or more,31,NULL,NULL
010059,2012,Between 100 and 299,30,NULL,NULL
010059,2013,Between 100 and 299,23,NULL,NULL
010059,2014,Between 100 and 299,25,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010059,2015,138,29,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010059,2016,110,25,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010061,2009,Between 100 and 299,44,NULL,NULL
010061,2010,Between 100 and 299,32,NULL,NULL
010061,2011,Between 100 and 299,29,NULL,NULL
010061,2012,300 or more,34,NULL,NULL
010061,2013,300 or more,39,NULL,NULL
010061,2014,300 or more,34,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010061,2015,310,28,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010061,2016,332,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010062,2009,Between 100 and 299,44,NULL,NULL
010062,2010,Between 100 and 299,29,NULL,NULL
010062,2011,Between 100 and 299,31,NULL,NULL
010062,2012,Between 100 and 299,28,NULL,NULL
010062,2013,Between 100 and 299,29,NULL,NULL
010062,2014,Between 100 and 299,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010062,2015,159,28,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010062,2016,172,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010065,2009,300 or More,29,NULL,NULL
010065,2010,300 or more,33,NULL,NULL
010065,2011,300 or more,35,NULL,NULL
010065,2012,300 or more,41,NULL,NULL
010065,2013,300 or more,41,NULL,NULL
010065,2014,300 or more,39,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010065,2015,593,37,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010065,2016,544,34,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010066,2009,Between 100 and 299,51,NULL,NULL
010066,2010,Between 100 and 299,29,NULL,NULL
010066,2011,Between 100 and 299,38,NULL,NULL
010066,2012,Fewer than 100,30,NULL,NULL
010066,2013,Fewer than 100,34,NULL,NULL
010069,2009,Between 100 and 299,48,NULL,NULL
010069,2010,Between 100 and 299,32,NULL,NULL
010069,2011,Between 100 and 299,27,NULL,NULL
010069,2012,Between 100 and 299,34,NULL,NULL
010069,2013,Between 100 and 299,37,NULL,NULL
010069,2014,Between 100 and 299,33,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010069,2015,181,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010069,2016,153,26,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010073,2009,Between 100 and 299,41,NULL,NULL
010073,2010,Between 100 and 299,34,NULL,NULL
010073,2011,Between 100 and 299,35,NULL,NULL
010073,2012,Between 100 and 299,37,NULL,NULL
010073,2013,Between 100 and 299,35,NULL,NULL
010073,2014,Between 100 and 299,39,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010073,2015,155,38,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010073,2016,129,37,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010078,2009,300 or More,53,NULL,NULL
010078,2010,300 or more,32,NULL,NULL
010078,2011,300 or more,30,NULL,NULL
010078,2012,300 or more,34,NULL,NULL
010078,2013,300 or more,36,NULL,NULL
010078,2014,300 or more,34,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010078,2015,1578,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010078,2016,1967,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010079,2009,Between 100 and 299,29,NULL,NULL
010079,2010,300 or more,25,NULL,NULL
010079,2011,300 or more,26,NULL,NULL
010079,2012,300 or more,29,NULL,NULL
010079,2013,300 or more,27,NULL,NULL
010079,2014,300 or more,28,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010079,2015,570,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010079,2016,569,27,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010083,2009,300 or More,29,NULL,NULL
010083,2010,300 or more,28,NULL,NULL
010083,2011,300 or more,28,NULL,NULL
010083,2012,300 or more,31,NULL,NULL
010083,2013,300 or more,33,NULL,NULL
010083,2014,300 or more,36,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010083,2015,1267,33,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010083,2016,1120,31,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010085,2009,300 or More,30,NULL,NULL
010085,2010,300 or more,32,NULL,NULL
010085,2011,300 or more,31,NULL,NULL
010085,2012,300 or more,32,NULL,NULL
010085,2013,300 or more,32,NULL,NULL
010085,2014,300 or more,29,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010085,2015,1127,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010085,2016,1113,26,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010086,2009,300 or More,29,NULL,NULL
010086,2010,300 or more,29,NULL,NULL
010086,2011,300 or more,30,NULL,NULL
010086,2012,300 or more,32,NULL,NULL
010086,2013,300 or more,34,NULL,NULL
010086,2014,300 or more,34,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010086,2015,290,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010086,2016,285,30,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010087,2009,Between 100 and 299,47,NULL,NULL
010087,2010,300 or more,24,NULL,NULL
010087,2011,300 or more,22,NULL,NULL
010087,2012,300 or more,26,NULL,NULL
010087,2013,300 or more,28,NULL,NULL
010087,2014,300 or more,29,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010087,2015,656,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010087,2016,695,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010089,2009,300 or More,53,NULL,NULL
010089,2010,300 or more,34,NULL,NULL
010089,2011,300 or more,32,NULL,NULL
010089,2012,300 or more,30,NULL,NULL
010089,2013,300 or more,28,NULL,NULL
010089,2014,300 or more,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010089,2015,629,25,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010089,2016,624,26,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010090,2009,300 or More,35,NULL,NULL
010090,2010,300 or more,33,NULL,NULL
010090,2011,300 or more,32,NULL,NULL
010090,2012,300 or more,30,NULL,NULL
010090,2013,300 or more,35,NULL,NULL
010090,2014,300 or more,36,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010090,2015,1119,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010090,2016,1178,27,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010091,2009,Between 100 and 299,44,NULL,NULL
010091,2010,Between 100 and 299,23,NULL,NULL
010091,2011,Between 100 and 299,22,NULL,NULL
010091,2012,Between 100 and 299,30,NULL,NULL
010091,2013,300 or more,31,NULL,NULL
010091,2014,Between 100 and 299,26,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010091,2015,160,25,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010091,2016,151,31,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010092,2009,300 or More,23,NULL,NULL
010092,2010,300 or more,23,NULL,NULL
010092,2011,300 or more,24,NULL,NULL
010092,2012,300 or more,23,NULL,NULL
010092,2013,300 or more,23,NULL,NULL
010092,2014,300 or more,20,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010092,2015,1499,19,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010092,2016,1426,18,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010095,2009,Between 100 and 299,47,NULL,NULL
010095,2010,Between 100 and 299,26,NULL,NULL
010095,2011,Between 100 and 299,24,NULL,NULL
010095,2012,Fewer than 100,26,NULL,NULL
010095,2013,Fewer than 100,29,NULL,NULL
010095,2014,Fewer than 100,24,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010095,2015,79,33,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010095,2016,73,30,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010097,2009,Between 100 and 299,48,NULL,NULL
010097,2010,Between 100 and 299,31,NULL,NULL
010097,2011,Between 100 and 299,31,NULL,NULL
010097,2012,Between 100 and 299,31,NULL,NULL
010097,2013,Between 100 and 299,36,NULL,NULL
010097,2014,Between 100 and 299,33,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010097,2015,111,31,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010097,2016,114,34,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010099,2009,Between 100 and 299,45,NULL,NULL
010099,2010,Between 100 and 299,27,NULL,NULL
010099,2011,Between 100 and 299,28,NULL,NULL
010099,2012,300 or more,30,NULL,NULL
010099,2013,300 or more,31,NULL,NULL
010099,2014,Between 100 and 299,31,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010099,2015,286,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010099,2016,309,25,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010100,2009,300 or More,39,NULL,NULL
010100,2010,300 or more,42,NULL,NULL
010100,2011,300 or more,41,NULL,NULL
010100,2012,300 or more,40,NULL,NULL
010100,2013,300 or more,44,NULL,NULL
010100,2014,300 or more,44,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010100,2015,1245,40,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010100,2016,1262,41,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010101,2009,300 or More,54,NULL,NULL
010101,2010,300 or more,31,NULL,NULL
010101,2011,300 or more,26,NULL,NULL
010101,2012,300 or more,26,NULL,NULL
010101,2013,300 or more,27,NULL,NULL
010101,2014,300 or more,26,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010101,2015,427,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010101,2016,392,25,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010102,2009,Fewer than 100,36,NULL,NULL
010102,2010,Fewer than 100,23,NULL,NULL
010102,2011,Fewer than 100,23,NULL,NULL
010102,2012,Fewer than 100,33,NULL,NULL
010102,2013,Fewer than 100,31,NULL,NULL
