ProviderId,DataYear,OP_10_Score,OP_11_Score,OP_13_Score,OP_14_Score,OP_8_Score,OP_9_Score,OP_10_Sample,OP_11_Sample,OP_13_Sample,OP_14_Sample,OP_8_Sample,OP_9_Sample,MeasureStartDate,MeasureEndDate
670092,2016,10.7,4.6,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670094,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670095,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670097,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360077,2011,0.092,0.013,NULL,NULL,37.5,13.8,1060,761,NULL,NULL,72,1603,NULL,NULL
360077,2014,4.4,0.2,3.1,2.9,Not Available,11.9,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360078,2010,0.148,0.000,NULL,NULL,26.6,7.6,751,437,NULL,NULL,154,1328,NULL,NULL
360078,2013,9.8,0.0,5.2,2.4,18.9,4.4,605,314,426,593,132,1136,NULL,NULL
360079,2015,5.5,0.4,3.2,2.3,Not Available,4.6,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360080,2011,0.610,0.015,NULL,NULL,N/A,11.5,282,332,NULL,NULL,N/A,567,NULL,NULL
360080,2014,58.2,0.0,6.1,Not Available,30.2,19.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360081,2013,7.7,7.2,3.2,4.8,33.3,12.0,610,458,157,496,78,1115,NULL,NULL
360081,2016,5.2,0.8,1.1,2.1,40.4,11.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360082,2010,0.065,0.000,NULL,NULL,17.0,9.7,291,248,NULL,NULL,47,422,NULL,NULL
360082,2013,2.4,2.8,Not Available,Not Available,Not Available,3.3,330,143,Not Available,Not Available,Not Available,301,NULL,NULL
360082,2016,2.5,0.0,Not Available,4.1,Not Available,12.0,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360084,2010,0.071,0.059,NULL,NULL,31.9,8.6,1864,1474,NULL,NULL,389,1705,NULL,NULL
360084,2013,5.0,3.8,3.7,1.9,31.6,7.0,1478,1149,918,1399,190,1575,NULL,NULL
360085,2012,0.079,0.006,6.1,2.3,34.9,4.8,1284,933,578,867,169,330,NULL,NULL
360085,2015,7.5,0.0,8.4,2.4,Not Available,9.6,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360086,2012,0.044,0.015,7.1,3.6,37.5,8.7,929,785,267,897,96,1289,NULL,NULL
360086,2015,3.4,3.6,2.6,2.9,Not Available,7.3,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360087,2011,0.022,0.000,NULL,NULL,37.3,8.2,225,111,NULL,NULL,67,376,NULL,NULL
360087,2014,1.3,0.0,4.1,Not Available,Not Available,8.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360089,2011,0.713,0.105,NULL,NULL,23.4,5.2,369,257,NULL,NULL,94,652,NULL,NULL
360089,2014,32.8,7.4,2.0,Not Available,Not Available,3.9,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360090,2011,0.111,0.083,NULL,NULL,23.4,8.0,904,528,NULL,NULL,269,1764,NULL,NULL
360090,2014,4.8,1.8,7.3,1.7,34.9,9.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360091,2012,0.288,0.078,6.8,3.9,39.8,9.8,590,282,146,712,83,1076,NULL,NULL
360092,2014,2.4,0.0,10.3,1.3,Not Available,12.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360095,2010,0.121,0.034,NULL,NULL,27.1,9.3,1107,582,NULL,NULL,339,1414,NULL,NULL
360095,2013,7.3,1.2,6.2,1.8,33.0,8.2,1132,568,274,774,215,1470,NULL,NULL
360095,2016,5.5,0.9,3.8,4.0,32.9,7.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360096,2011,0.044,0.022,NULL,NULL,35.7,7.0,362,229,NULL,NULL,84,486,NULL,NULL
360098,2016,2.6,0.0,3.2,3.7,41.1,10.5,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360101,2010,0.019,0.029,NULL,NULL,25.9,8.1,158,139,NULL,NULL,27,186,NULL,NULL
360107,2016,9.2,12.4,5.3,4.3,Not Available,7.1,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360109,2015,2.8,0.0,3.0,5.0,Not Available,9.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360112,2015,3.0,0.2,5.7,1.5,Not Available,12.2,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360115,2012,0.085,0.045,7.1,Not Available,Not Available,11.6,293,245,126,Not Available,Not Available,450,NULL,NULL
360116,2011,0.062,0.056,NULL,NULL,36.5,10.2,241,142,NULL,NULL,85,325,NULL,NULL
360116,2014,2.3,1.3,4.9,0.6,Not Available,10.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360118,2010,0.035,0.060,NULL,NULL,25.8,8.3,1143,833,NULL,NULL,198,1715,NULL,NULL
360121,2010,0.049,0.073,NULL,NULL,20.7,7.3,246,219,NULL,NULL,92,179,NULL,NULL
360121,2013,9.3,6.0,Not Available,Not Available,45.2,Not Available,270,168,Not Available,Not Available,73,Not Available,NULL,NULL
360121,2016,9.0,4.7,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360123,2016,3.9,2.6,1.8,4.6,Not Available,12.0,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360125,2011,0.044,0.002,NULL,NULL,33.3,12.7,639,493,NULL,NULL,87,943,NULL,NULL
360125,2014,1.6,0.0,4.5,1.9,33.9,11.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360130,2010,0.000,0.000,NULL,NULL,N/A,N/A,97,47,NULL,NULL,N/A,N/A,NULL,NULL
360131,2012,0.103,0.018,8,1,32.4,12.5,496,342,150,480,74,646,NULL,NULL
360131,2015,25.8,9.1,5.4,2.1,Not Available,8.3,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360132,2010,0.057,0.002,NULL,NULL,36.1,9.3,645,441,NULL,NULL,119,983,NULL,NULL
360133,2012,0.141,0.075,7.4,3.4,35.3,5,1207,590,430,822,218,1002,NULL,NULL
360133,2015,6.6,1.7,4.9,3.9,Not Available,7.1,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360134,2011,0.058,0.004,NULL,NULL,32.8,9.4,918,929,NULL,NULL,201,1832,NULL,NULL
360134,2014,4.9,0.7,3.5,0.3,37.2,9.1,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360137,2012,0.451,0.004,6.1,2,26.3,10.6,2043,2515,890,754,217,1908,NULL,NULL
360141,2012,0.07,0.006,3.3,5,Not Available,10.8,374,176,60,323,Not Available,601,NULL,NULL
670085,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
670085,2016,0.6,Not Available,Not Available,7.2,Not Available,10.8,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670087,2016,0.0,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670088,2014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
670089,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670090,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670095,2016,Not Available,Not Available,Not Available,0.0,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670097,2016,0.0,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670098,2016,2.2,0.0,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670107,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670108,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360141,2015,6.3,1.0,3.8,Not Available,Not Available,8.7,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360143,2012,0.175,0.005,4.3,3.6,36.3,9.2,686,422,163,925,91,1073,NULL,NULL
360143,2015,5.8,0.3,2.8,3.1,Not Available,7.9,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360144,2010,0.067,0.103,NULL,NULL,31.9,5.7,869,513,NULL,NULL,141,945,NULL,NULL
360145,2010,0.053,0.001,NULL,NULL,28.2,6.1,1118,722,NULL,NULL,117,558,NULL,NULL
360145,2013,3.1,1.4,4.9,2.7,32.1,5.3,1052,663,2451,854,78,673,NULL,NULL
360145,2016,1.4,0.3,4.6,3.0,37.0,5.4,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360147,2010,0.755,0.137,NULL,NULL,37.7,4.9,783,942,NULL,NULL,159,1015,NULL,NULL
360148,2012,0.136,0,11.1,Not Available,Not Available,5.1,118,82,99,Not Available,Not Available,217,NULL,NULL
360148,2015,11.7,4.0,10.4,Not Available,Not Available,8.4,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360150,2012,0.089,0,5.4,Not Available,28.7,Not Available,305,194,130,Not Available,108,Not Available,NULL,NULL
360150,2015,3.2,0.5,5.9,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360151,2014,3.7,0.0,5.6,6.1,Not Available,10.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360152,2015,4.3,0.8,4.8,3.8,Not Available,9.7,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360153,2010,0.152,0.000,NULL,NULL,30.4,14.4,79,100,NULL,NULL,56,180,NULL,NULL
360153,2013,11.3,5.2,Not Available,Not Available,Not Available,9.5,71,58,Not Available,Not Available,Not Available,169,NULL,NULL
360155,2010,0.057,0.017,NULL,NULL,32.7,5.8,1359,1261,NULL,NULL,110,1435,NULL,NULL
360155,2013,16.4,1.5,6.7,5.5,37.6,3.1,1374,758,163,1100,125,1685,NULL,NULL
360155,2016,15.5,0.0,5.3,4.0,33.3,6.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360156,2010,0.639,0.227,NULL,NULL,26.4,6.9,468,392,NULL,NULL,125,807,NULL,NULL
360156,2013,23.1,26.3,7.3,2.2,31.0,5.0,351,224,288,416,100,746,NULL,NULL
360159,2012,0.024,0.012,5,2.8,39.5,7.7,1154,758,887,799,248,1411,NULL,NULL
360159,2015,1.7,0.7,4.2,1.8,Not Available,8.5,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360161,2010,0.662,0.015,NULL,NULL,24.2,10.4,749,608,NULL,NULL,153,811,NULL,NULL
360161,2013,60.0,2.3,5.3,3.4,25.6,11.0,672,443,207,767,82,728,NULL,NULL
360163,2010,0.069,0.011,NULL,NULL,35.7,5.1,1411,1279,NULL,NULL,213,2445,NULL,NULL
360163,2013,6.1,1.2,4.4,3.2,37.6,7.4,1620,1475,1822,867,303,2652,NULL,NULL
360163,2016,8.7,2.5,3.0,1.8,38.9,7.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360170,2014,3.1,0.3,5.6,2.1,45.8,11.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360172,2016,3.3,7.1,2.6,3.2,33.6,7.4,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360174,2010,0.066,0.010,NULL,NULL,22.4,5.4,869,711,NULL,NULL,116,1622,NULL,NULL
360174,2013,8.3,2.4,4.8,2.4,27.2,5.4,695,573,398,786,92,1532,NULL,NULL
360174,2016,6.5,3.0,2.0,2.1,29.0,3.8,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360175,2015,11.4,6.5,9.2,Not Available,Not Available,4.0,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360179,2010,0.098,0.010,NULL,NULL,29.7,16.0,1959,1878,NULL,NULL,273,2888,NULL,NULL
360179,2013,9.6,1.1,6.0,1.0,38.2,26.4,1724,1204,687,1216,288,3544,NULL,NULL
360180,2014,13.0,0.1,6.7,1.7,31.9,9.3,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360185,2011,0.079,0.001,NULL,NULL,32.8,6.4,849,778,NULL,NULL,125,1241,NULL,NULL
360185,2014,9.1,0.0,6.4,1.6,33.7,5.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360189,2011,0.018,0.000,NULL,NULL,N/A,12.5,165,110,NULL,NULL,N/A,287,NULL,NULL
360189,2014,3.2,1.2,Not Available,Not Available,Not Available,8.5,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360192,2010,0.096,0.027,NULL,NULL,37.9,7.4,500,291,NULL,NULL,66,571,NULL,NULL
360192,2013,5.7,2.0,5.0,1.9,42.3,17.0,564,444,120,482,104,653,NULL,NULL
360192,2016,8.0,3.9,4.6,1.7,39.6,9.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360195,2012,0.032,0,4.8,Not Available,42.9,2.1,339,157,168,Not Available,49,610,NULL,NULL
360197,2011,0.087,0.059,NULL,NULL,30.0,10.1,496,322,NULL,NULL,80,924,NULL,NULL
360203,2010,0.156,0.183,NULL,NULL,36.1,5.1,598,436,NULL,NULL,36,901,NULL,NULL
360203,2013,9.2,9.9,4.0,Not Available,38.6,6.4,541,414,326,Not Available,44,862,NULL,NULL
360203,2016,9.5,7.9,11.3,2.0,Not Available,5.0,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360210,2010,0.040,0.010,NULL,NULL,23.4,12.1,346,195,NULL,NULL,64,527,NULL,NULL
360210,2013,6.0,1.9,2.6,Not Available,31.3,10.6,368,213,194,Not Available,80,586,NULL,NULL
360210,2016,5.8,0.9,5.8,0.4,Not Available,6.1,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
360211,2012,0.524,0.31,7.9,Not Available,34,8,529,435,191,Not Available,106,1038,NULL,NULL
360211,2015,3.8,0.0,5.5,3.9,Not Available,8.1,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360212,2014,1.6,0.7,Not Available,4.0,Not Available,6.6,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
360218,2015,2.7,0.4,2.6,1.1,Not Available,4.5,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
360230,2012,0.338,0.001,4,3.8,30.5,8.3,1326,1061,199,1116,167,1483,NULL,NULL
360234,2010,0.148,0.000,NULL,NULL,32.2,10.2,779,664,NULL,NULL,174,1033,NULL,NULL
360234,2013,6.2,0.5,4.7,Not Available,37.5,8.3,645,403,192,Not Available,144,917,NULL,NULL
360236,2011,0.160,0.010,NULL,NULL,32.6,36.3,624,668,NULL,NULL,215,1111,NULL,NULL
360239,2010,0.088,0.014,NULL,NULL,27.3,N/A,922,507,NULL,NULL,99,N/A,NULL,NULL
360245,2010,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
